PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
"En relación al protocolo 802.1 Q usado para utilizar de forma transparente el mismo medio físico por múltiples redes, ¿cuál de las siguientes afirmaciones es FALSA?:",Encapsula la trama original,Añade nuevos bytes a la cabecera,Para establecer un trunking 802.1 q a ambos lados debemos tener la misma VLAN nativa,"Se precisa realizar un recálculo del campo ""FCS""",A,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen Servicio Canario Salud A1 2012
La MTU del enlace es igual al:,AI valor de MTU más alto de los posibles a lo largo de una ruta,AI valor de MTU más bajo de los posibles a lo largo de una ruta,AI valor medio de MTU de los enlaces que intervienen a lo largo de una ruta,AI valor que haya sido definido en el PC que inicia la comunicación,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de las siguientes aseveraciones es FALSA?:,Paquete Unicast es un paquete de datos dirigido a una única estación,"Paquete Multicast es un paquete de datos dirigido a un grupo de estaciones, seleccionándose la interfaz más cercana",Paquete Broadcast es un paquete de datos dirigido a todas y cada una de las estaciones del segmento local,"Paquete Anycast es un paquete dirigido a un grupo de estaciones, con la diferencia en que se selecciona una de estas estaciones para ser la destinataria de la información",B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En relación a la dirección MAC, ¿Cuál de las siguientes aseveraciones es FALSA?:",La dirección MAC contiene el código de fabricante de 24 bits,La dirección MAC contiene el código de identidad de red de 24 bits,Es utilizada en el nivel de enlace de datos de la torre de protocolos OSI,La dirección MAC contiene el códiqo de serie que es elegido por cada fabricante a su discreción.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En las redes de comunicaciones basadas en conmutación de paquetes, la técnica de circuitos virtuales se caracteriza porque:",Cada paquete se transporta de forma independiente sin referencia a los precedentes,"La ruta de origen a destino puede ser diferente, pero los paquetes llegan en orden",Se dispone de un circuito dedicado,La ruta es para toda la comunicación,D,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Con respecto a la tecnología de Jerarquía Digital Síncrona (SDH/JDS) ¿cuál de las expresiones siguientes es INCORRECTA?,"Las tramas tributarias de las señales de Iínea pueden ser subdivididas para acomodar cargas plesiócronas, trafico ATM o unidades de menor orden. Esto supone mezclar trance de distinto tipo dando lugar a redes flexibles.","EI procesamiento de la serial se lleva a cabo a nivel de STM-1, con lo que las señales de velocidades superiores son síncronas entre sí, y están en fase per ser generadas localmente por cada nodo la red",La inclusión de canales de control dentro de una trama SDH posibilita un control software total de la red,No sirven para transportar trance de tipo IP,D,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen Servicio Canario Salud A1 2012
EI protocolo de encaminamiento más adecuado a utilizar en un punto neutro de interconexión en el que varios proveedores de Internet intercambian trance es:,OSPF,"No es adecuado utilizar encaminamiento dinámico, se recurre a tablas estáticas",RIP,BGP-4,D,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
En relación al protocolo OSPF,Presenta como gran inconveniente el elevado tiempo de convergencia,Es un protocolo de tipo vector distancia,Solo envía actualizaciones cuando hay cambios de topología.,Es un protocolo de rutas estáticas,C,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En relación al protocolo OSPF, ¿cuál de las siguientes aseveraciones es FALSA?:",Divide el área en sistemas autónomos,Es un protocolo jerárquico,Es un protocolo de pasarela interne,Es un protocolo dinámico,A,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En relación con el protocolo SMTP, ¿Cuál de las siguientes aseveraciones se cumple?:",Para leer correo de entrada y componer correo de salida los usuarios utilizan clientes SMTP,SMTP es un protocolo no compatible con IPv6,"Los anfitriones externos, servidores de correo, se ponen en contacto con los anfitriones internos, servidores de correo, a través de SMTP",SMTP es un protocolo de capa de nivel de sesión.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,116,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Respecto al correo electrónico, ¿Qué afirmación NO es correcta?",POP es un protocolo de acceso a correo,SMTP es un protocolo de transporte de mensajes,IMAP es un protocolo de red de acceso a mensajes electrónicos almacenados en un servidor,MIME no permite acentos en los mensajes de correo,D,B4,A.deGrado,PREPARATIC24,2016,,,,,116,,,,INSERT,,Examen Servicio Canario Salud A1 2012
La banda de 5'47 GHz se utiliza para:,Bluetooth,Está reservada para uso militar,WiFi,Wimax,D,B4,A.deGrado,PREPARATIC24,2016,,,,,106,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Qué función realiza el splitter en la conexión ADSL?,Para discriminar dos bandas de frecuencias,Para ecualizar la señal vocal,EI splitter solo se utiliza en las conexiones HDSL,Ninguna de las anteriores,A,B4,A.deGrado,PREPARATIC24,2016,,,,,106,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿a qué clase corresponde la dirección IP 26.11 0.4.65?,A,B,C,Ninguna de las anteriores es correcta.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Qué sentencia de las siguientes es correcta?:,Con SSL las cabeceras IP y del nivel de transporte (TCP y UDP) son cifradas y por tanto no accesibles desde la red,SSL utiliza únicamente sistemas de clave pública para cifrar,Para utilizar SSL los routers tienen que ser compatibles con SSL,EI servidor en una sesión SSL no tiene por que estar siempre autenticado,D,B4,A.deGrado,PREPARATIC24,2016,,,,,120,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de los siguientes organismos de Internet gestiona la definición de políticas para la asignación de nombres simbólicos o dominios en Internet?:,lANA,ICANN,RIPE,IETF,A,B4,A.deGrado,PREPARATIC24,2016,,,,,103,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"Un servidor web puede utilizar el mecanismo de ""cookies"" para:",Conseguir información sobre los hábitos de navegación del usuario,Enviar c6digo embebido en la pagina HTML que se ejecutara en el cliente,La generación de Pop-ups,Contienen tanto código como datos,A,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"EI concepto de ""Cloud Computing"" hace referencia a un modelo de prestación de servicios en el que:",Se aloja un servidor o aplicación en el edificio de un proveedor,"EI proveedor de servicios se encarga del alojamiento, gestión y administración de los servidores y aplicaciones del cliente, pero son personalizadas y no se comparten con otros clientes.",Se paga únicamente por el consumo de servicios efectuado,Se utiliza la capacidad de proceso y computación libre existente en otros servidores de Internet para efectuar operaciones de cálculo.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,52,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuáles de las siguientes NO es una característica esencial de los sistemas de altas prestaciones?,Arquitectura altamente paralela.,Gran capacidad de compute.,Tiempo compartido.,Elevado coste.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen Servicio Canario Salud A1 2012
La función de un planificador en sistemas de altas prestaciones es:,Contabilizar el tiempo consumido por cada proceso.,Seleccionar trabajos en función de su prioridad.,Realizar cambios de contexto de los procesos.,Asignar la cuota de tiempo de cálculo (walltime).,B,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿En qué consiste el esquema de paralelización SIMD?,Los procesadores pueden ejecutar diferentes instrucciones.,Los procesadores trabajan sobre diferentes conjuntos de datos.,Los procesadores pueden ejecutar diferentes instrucciones y trabajan sobre diferentes conjuntos de datos.,Los procesadores trabajan sobre el mismo conjunto de datos.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen Servicio Canario Salud A1 2012
EI módulo de un Sistema de Gestión de Base Datos que controla que las operaciones satisfagan las restricciones de integridad es:,Procesador de consultas.,Compilador del Lenguaje de Definición de Datos.,Gestor del diccionario.,Gestor de la base de datos.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En el modelo referencial, ¿qué se entiende por integridad referencial?",Que todos los datos están referenciados por su clave y ésta que sea única.,"Que todo atributo que represente una relación sea nulo, o bien exista en la clave primaria del elemento relacionado.","Que todo conjunto de operaciones que constituya una unidad, progrese en conjunto o bien falle en conjunto, pero que no progrese nunca en situaciones intermedias.",Que se pueda referenciar la totalidad de la base de datos.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Señale cual de los siguientes niveles NO existe en la definición de niveles de la arquitectura estándar de los SGBD. ANSI1X3/SPARC:,Nivel relacional.,Nivel conceptual,Nivel externo.,Nivel interno.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Señale la afirmación correcta acerca de La Forma Normal de Boyce-Codd (FNBC):,Requiere que existan dependencias funcionales no triviales de los atributos que no sean un conjunto de la clave candidata.,Es una versión ligeramente menos fuerte que la 3FN (Tercera Forma Normal).,"Una relación esta en FNBC si esta en 3FN y solo si, todo determinante es una clave candidata.",Es una versión ligeramente menos fuerte que la 2FN (Segunda Forma Normal).,C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuantas son las reglas que según Codd debe cumplir un sistema verdaderamente relacional?,Cinco.,Doce.,Cuatro.,Tres.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"El lenguaje de consulta SQL utiliza el comando ""GRANT"" para:",Eliminar una tabla de datos.,Dar derechos de acceso a un usuario sobre un objeto de la base de datos.,"Comparar 16gicamente la condición ""mayor que"" en dos variables.",Crear una vista.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Qué instrucción SQL se utiliza para extraer información de la Base de Datos?,GET.,EXPORT.,SELECT.,QUERY.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Señale como se denomina el conjunto de reglas que deben de seguir los lenguajes de programación para que sean compatibles con .NET:,CLS,MSIL,Bytecode,JIT,A,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen Servicio Canario Salud A1 2012
De las siguientes cuestiones de la arquitectura .NET indique cual es FALSA.,Las clases ASP.NET soportan el desarrollo de aplicaciones web y de servicios web XML.,Las clases ADO.NET permiten acceder a datos.,CLR (Common Language runtime) se encarga de realizar la compilación del código fuente al Lenguaje Intermedio independiente de la plataforma.,En la arquitectura .NET se permite la utilización de varios lenguajes de programación,C,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen Servicio Canario Salud A1 2012
"En el framework .NET, (_que código se genera como salida del compilador just in time?",Bytecode,IL (intemediate language),Código máquina,Código ensamblador,C,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen Servicio Canario Salud A1 2012
JDBC es:,Un estándar que permite la definición de procedimientos escritos en Java para el establecimiento de una conexión a una base de datos vÍa ODBC.,Un API (Application Programming Interface) que permite el acceso a base de datos desde aplicaciones JAVA.,Un driver que permite la conexión entre los distintos niveles de la arquitectura Internet.,EI estándar ODBC para bases de datos relacionales.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de las siguientes opciones se corresponde con una interfaz de Java que permite llamar a métodos nativos escritos en otros lenguajes?,RMI,JAXP,JNOI,JNI,D,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Qué características tiene el software libre cubierto por la GPL de GNU?,"Su usa, redistribución o modificación están prohibidos, requieren que se solicite una autorización.","Se convierte en freeware, paquetes que se pueden distribuir pero no modificar.","Se puede usar con cualquier prop6sito, adaptarlo a las necesidades, mejorar el programa, distribuir copias y está protegido con copylet.","Se puede usar con cualquier prop6sito, adaptarlo a las necesidades, mejorar el programa y a partir de aquí ya puede ser software privativo.",C,B2,A.deGrado,PREPARATIC24,2016,,,,,66,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de los siguientes es un servidor web basado en software de código abierto?,Internet Information Server,Weblogic,Websphere,Apache,D,B2,A.deGrado,PREPARATIC24,2016,,,,,66,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuál de los siguientes componentes forman parte de la suite ofimática libre OpenOffice.org?,Todos los mencionados a continuación.,Base.,Writer.,Math,A,B2,A.deGrado,PREPARATIC24,2016,,,,,66,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿Cuáles de los siguientes métodos NO es un método de representación simbólica del conocimiento?,Redes semánticas,Redes Neuronales,Marcos,Reglas,B,B2,A.deGrado,PREPARATIC24,2016,,,,,68,,,,INSERT,,Examen Servicio Canario Salud A1 2012
¿De las siguientes cuestiones sobre Ingeniería del conocimiento indique cual es FALSA:,EI conocimiento puede representarse de forma procedimental.,Un sistema experto tiene dos componentes: la base de conocimiento y el motor de inferencia.,Mediante lenguajes de propósito general como C o Java podemos construir Sistemas Expertos.,Un marco representa un conjunto de conceptos relacionados.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,68,,,,INSERT,,Examen Servicio Canario Salud A1 2012
Las herramientas de minería de datos:,Se utilizan en entornos altamente transaccionales.,"Emplean métodos de búsqueda por asociaciones, secuencias, clasificaciones, pronósticos, y/o agrupamientos.",Trabajan exclusivamente con bases de datos Oracle y Adabas.,Se denominan también sistemas OLTP.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,72,,,,INSERT,,Examen Servicio Canario Salud A1 2012
